player,team,stage
Haydos,CRO,R32
Haydos,CRO,R16
Haydos,ECU,R32
Haydos,EGY,R32
Haydos,ENG,R32
Haydos,ENG,R16
Haydos,ENG,quarter
Haydos,ENG,semi
Haydos,ENG,final
Haydos,ENG,winner
Haydos,FRA,R32
Haydos,FRA,R16
Haydos,FRA,quarter
Haydos,GER,R32
Haydos,GER,R16
Haydos,GHA,R32
Haydos,CIV,R32
Haydos,JPN,R32
Haydos,MEX,R32
Haydos,MEX,R16
Haydos,MAR,R32
Haydos,NED,R32
Haydos,NED,R16
Haydos,NED,quarter
Haydos,NED,semi
Haydos,NED,final
Haydos,NOR,R32
Haydos,POR,R32
Haydos,POR,R16
Haydos,POR,quarter
Haydos,SEN,R32
Haydos,SEN,R16
Haydos,ESP,R32
Haydos,ESP,R16
Haydos,ESP,quarter
Haydos,SWE,R32
Haydos,SUI,R32
Luce,ALG,R32
Luce,ARG,R32
Luce,ARG,R16
Luce,ARG,quarter
Luce,ARG,semi
Luce,ARG,final
Luce,AUS,R32
Luce,AUT,R32
Luce,BEL,R32
Luce,BEL,R16
Luce,BEL,quarter
Luce,BIH,R32
Luce,BRA,R32
Luce,BRA,R16
Luce,BRA,quarter
Luce,CAN,R32
Luce,COL,R32
Luce,COL,R16
Luce,CRO,R32
Luce,ECU,R32
Luce,EGY,R32
Luce,EGY,R16
Luce,ENG,R32
Luce,ENG,R16
Luce,ENG,quarter
Luce,ENG,semi
Luce,FRA,R32
Luce,FRA,R16
Luce,FRA,quarter
Luce,FRA,semi
Luce,FRA,final
Luce,FRA,winner
Luce,GER,R32
Luce,GER,R16
Luce,GHA,R32
Luce,CIV,R32
Luce,JPN,R32
Luce,MEX,R32
Luce,MEX,R16
Luce,MAR,R32
Luce,NED,R32
Luce,NED,R16
Luce,NOR,R32
Luce,NOR,R16
Luce,PAR,R32
Luce,POR,R32
Luce,POR,R16
Luce,POR,quarter
Luce,ESP,R32
Luce,ESP,R16
Luce,ESP,quarter
Luce,ESP,semi
Luce,ESP,third
Luce,SWE,R32
Luce,SWE,R16
Luce,SUI,R32
Luce,USA,R32
Luce,USA,R16
Tom (9a0),ALG,R32
Tom (9a0),ARG,R32
Tom (9a0),ARG,R16
Tom (9a0),ARG,quarter
Tom (9a0),AUS,R32
Tom (9a0),AUS,R16
